Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
25,Floyd Ayité\Floyd-Ayite,tg TOG,FWMF,Fulham,29,1988,16,3,476,1,0,0,0,0,0,0.19,0,0.19,0.19,0.19,0.4,0.4,0.3,0.07,0.06,0.13,0.07,0.13,Matches
26,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,28,1989,38,38,3402,1,5,0,0,4,0,0.03,0.13,0.16,0.03,0.16,0.9,0.9,2.3,0.02,0.06,0.08,0.02,0.08,Matches
27,Ryan Babel\Ryan-Babel,nl NED,FW,Fulham,31,1986,16,15,1251,5,3,0,0,3,0,0.36,0.22,0.58,0.36,0.58,4.7,4.7,2.3,0.34,0.16,0.5,0.34,0.5,Matches
28,Juninho Bacuna\Juninho-Bacuna,cw CUW,MFDF,Huddersfield,20,1997,21,16,1412,1,0,0,0,4,0,0.06,0,0.06,0.06,0.06,0.5,0.5,1.6,0.03,0.1,0.13,0.03,0.13,Matches
29,Leandro Bacuna\Leandro-Bacuna,cw CUW,MFDF,Cardiff City,26,1991,11,4,561,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.01,0,0.02,0.01,0.02,Matches
30,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,24,1994,12,8,638,0,0,0,0,0,1,0,0,0,0,0,0.2,0.2,0,0.03,0,0.03,0.03,0.03,Matches
31,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,33,1984,6,5,375,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.01,0.04,0.05,0.01,0.05,Matches
32,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,26,1991,23,23,2013,1,0,0,0,2,0,0.04,0,0.04,0.04,0.04,2.1,2.1,0.1,0.09,0,0.1,0.09,0.1,Matches
33,Leon Balogun\Leon-Balogun,ng NGA,DF,Brighton,30,1988,8,5,594,1,0,0,0,2,0,0.15,0,0.15,0.15,0.15,0.2,0.2,0,0.03,0,0.03,0.03,0.03,Matches
34,Sol Bamba\Sol-Bamba,ci CIV,DF,Cardiff City,33,1985,28,28,2474,4,1,0,0,7,0,0.15,0.04,0.18,0.15,0.18,2.6,2.6,0.4,0.1,0.01,0.11,0.1,0.11,Matches
35,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,33,1985,19,19,1670,0,0,0,0,9,0,0,0,0,0,0,0.2,0.2,0.7,0.01,0.04,0.05,0.01,0.05,Matches
36,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,24,1993,27,13,1245,3,5,0,0,1,0,0.22,0.36,0.58,0.22,0.58,3.8,3.8,2.1,0.27,0.15,0.43,0.27,0.43,Matches
37,Ashley Barnes\Ashley-Barnes,at AUT,FW,Burnley,28,1989,37,26,2388,12,2,2,2,8,0,0.45,0.08,0.53,0.38,0.45,12,10.4,3.6,0.45,0.13,0.59,0.39,0.53,Matches
38,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,20,1997,16,11,1004,1,2,0,0,0,0,0.09,0.18,0.27,0.09,0.27,3.2,3.2,1.4,0.28,0.13,0.41,0.28,0.41,Matches
