Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
29,Holger Badstuber\Holger-Badstuber,de GER,DF,Stuttgart,29,1989,10,5,522,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
30,Daniel Baier\Daniel-Baier,de GER,MF,Augsburg,34,1984,33,33,2815,0,1,0,0,7,0,0,0.03,0.03,0,0.03,0.8,0.8,1.5,0.03,0.05,0.07,0.03,0.07,Matches
31,Leon Bailey\Leon-Bailey,jm JAM,FWMF,Leverkusen,20,1997,29,21,1914,5,1,0,0,4,0,0.24,0.05,0.28,0.24,0.28,5.7,5.7,3.6,0.27,0.17,0.44,0.27,0.44,Matches
32,Marvin Bakalorz\Marvin-Bakalorz,de GER,MF,Hannover 96,28,1989,25,16,1470,1,0,0,0,5,0,0.06,0,0.06,0.06,0.06,0.5,0.5,0.5,0.03,0.03,0.06,0.03,0.06,Matches
33,Ridle Baku\Ridle-Baku,de GER,MF,Mainz 05,20,1998,15,10,937,0,0,0,0,1,0,0,0,0,0,0,0.6,0.6,0.9,0.06,0.09,0.15,0.06,0.15,Matches
34,Philipp Bargfrede\Philipp-Bargfrede,de GER,MFDF,Werder Bremen,29,1989,15,13,1079,0,0,0,0,6,0,0,0,0,0,0,0.1,0.1,0.3,0.01,0.02,0.03,0.01,0.03,Matches
35,Aymen Barkok\Aymen-Barkok,de GER,MF,Düsseldorf,20,1998,12,4,510,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.04,0.03,0.07,0.04,0.07,Matches
36,Leandro Barreiro Martins\Leandro-Barreiro-Martins,lu LUX,MF,Mainz 05,18,2000,1,1,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0.04,Matches
37,Fin Bartels\Fin-Bartels,de GER,FW,Werder Bremen,31,1987,2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
38,Robert Bauer\Robert-Bauer,de GER,DF,Nürnberg,23,1995,22,19,1722,0,0,0,0,4,1,0,0,0,0,0,0.2,0.2,0.7,0.01,0.03,0.05,0.01,0.05,Matches
39,Oliver Baumann\Oliver-Baumann,de GER,GK,Hoffenheim,28,1990,33,33,2970,0,1,0,0,0,0,0,0.03,0.03,0,0.03,0,0,0.6,0,0.02,0.02,0,0.02,Matches
40,Timo Baumgartl\Timo-Baumgartl,de GER,DF,Stuttgart,22,1996,18,18,1620,1,0,0,0,2,0,0.06,0,0.06,0.06,0.06,0.2,0.2,0,0.01,0,0.01,0.01,0.01,Matches
41,Julian Baumgartlinger\Julian-Baumgartlinger,at AUT,MF,Leverkusen,30,1988,21,16,1559,0,1,0,0,2,0,0,0.06,0.06,0,0.06,0.9,0.9,0.9,0.05,0.05,0.1,0.05,0.1,Matches
42,Christoph Baumgartner\Christoph-Baumgartner,at AUT,MF,Hoffenheim,18,1999,2,1,85,0,0,0,0,2,1,0,0,0,0,0,0.1,0.1,0,0.15,0,0.15,0.15,0.15,Matches
43,Noah Joel Sarenren Bazee\Noah-Joel-Sarenren-Bazee,ng NGA,FW,Hannover 96,21,1996,3,3,155,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.23,0,0.23,0.23,0.23,Matches
44,Ihlas Bebou\Ihlas-Bebou,tg TOG,FWMF,Hannover 96,24,1994,12,12,1066,4,3,1,1,1,0,0.34,0.25,0.59,0.25,0.51,4.3,3.6,1.8,0.37,0.15,0.52,0.3,0.46,Matches
45,Uffe Bech\Uffe-Bech,dk DEN,FW,Hannover 96,25,1993,2,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3,0,1.34,1.34,0,1.34,Matches
46,Andreas Beck\Andreas-Beck,de GER,DFMF,Stuttgart,31,1987,24,21,1776,0,2,0,0,2,0,0,0.1,0.1,0,0.1,0.5,0.5,1,0.03,0.05,0.08,0.03,0.08,Matches
47,Hanno Behrens\Hanno-Behrens,de GER,MF,Nürnberg,28,1990,30,30,2639,4,1,1,3,3,0,0.14,0.03,0.17,0.1,0.14,6.8,4.5,1.6,0.23,0.06,0.29,0.15,0.21,Matches
48,Ishak Belfodil\Ishak-Belfodil,dz ALG,FW,Hoffenheim,26,1992,28,20,1863,16,3,0,0,3,0,0.77,0.14,0.92,0.77,0.92,11.4,11.4,3.5,0.55,0.17,0.72,0.55,0.72,Matches
49,Stefan Bell\Stefan-Bell,de GER,DF,Mainz 05,26,1991,25,25,2250,0,0,0,0,7,0,0,0,0,0,0,2,2,1.1,0.08,0.05,0.13,0.08,0.13,Matches
50,Karim Bellarabi\Karim-Bellarabi,de GER,FWMF,Leverkusen,28,1990,19,14,1057,5,4,0,0,4,1,0.43,0.34,0.77,0.43,0.77,2.5,2.5,4.5,0.22,0.38,0.6,0.22,0.6,Matches
51,Lars Bender\Lars-Bender,de GER,DFMF,Leverkusen,29,1989,20,18,1361,1,4,0,0,2,0,0.07,0.26,0.33,0.07,0.33,0.9,0.9,1.2,0.06,0.08,0.14,0.06,0.14,Matches
